DATE,DATASET,WATERTEMP,AIRTEMP,FLOW,PRECIP,CLOUD,SUNSHINE,WIND
1977-08-02,TRAIN,22.8,21.4,45.5900800516499,0,45,618,2.9
1977-08-03,TRAIN,22.9,20.3,44.174239056257,0,55,786,2.9
1977-08-04,TRAIN,21.9,15.85,44.4574072553356,0.5,100,60,2.9
1977-08-05,TRAIN,20.6,16.95,43.0415662599427,0,95,84,2.9
1977-08-06,TRAIN,20.2,17.2,43.6079026580999,3,55,522,2.9
1977-08-07,TEST,20.7,18.9,43.3247344590213,0,35,624,2.9
1977-08-08,TEST,21.3,18.35,42.4752298617856,0,80,222,2.9
1977-08-09,TRAIN,20.5,15.55,43.0415662599427,0,60,276,2.9
1977-08-10,TRAIN,19.1,16.1,43.0415662599427,0,15,798,2.9
1977-08-11,TRAIN,19.1,16.9,42.192061662707,0,0,864,2.9
1977-08-12,TRAIN,19.6,18.3,41.3425570654713,0,5,864,2.9
1977-08-13,TRAIN,20,19.45,40.7762206673142,0,45,714,2.9
1977-08-14,TEST,20.4,17.5,40.4930524682356,0,75,324,2.9
1977-08-15,TRAIN,19.5,16.65,42.7583980608642,0.3,65,384,2.9
1977-08-16,TEST,19.1,18.3,44.4574072553356,0,15,630,2.9
1977-08-17,TEST,19.9,20.25,46.156416449807,0,35,696,2.9
1977-08-18,TEST,20.9,22.25,45.8732482507284,0,20,798,2.9
1977-08-19,TRAIN,21.6,24.15,43.8910708571785,0,15,660,2.9
1977-08-20,TRAIN,21.8,20,44.7405754544142,0,10,822,2.9
1977-08-21,TEST,21.2,20,42.192061662707,0,55,516,2.9
1977-08-22,TEST,20.4,18.35,42.192061662707,0,70,372,2.9
1977-08-23,TEST,19.3,18.9,44.4574072553356,0,70,648,2.9
1977-08-24,TRAIN,18.8,20.3,47.0059210470427,0,90,222,2.9
1977-08-25,TRAIN,17.9,15.25,49.2712666396713,0,85,348,2.9
1977-08-26,TEST,17.2,13.05,53.8019578249284,4.1,95,132,2.9
1977-08-27,TRAIN,15.7,13.3,62.2970037972856,0,70,324,2.9
1977-08-28,TEST,15.1,12.5,63.1465083945213,0,65,462,2.9
1977-08-29,TEST,16,15.85,65.4118539871498,0,75,552,2.9
1977-08-30,TRAIN,14.8,8.9,67.6771995797784,10.4,100,6,2.9
1977-08-31,TEST,13.4,10,75.8890773530569,0,75,216,2.9
1977-09-01,TEST,14.9,14.45,79.8534321401569,0,35,738,2.9
1977-09-02,TRAIN,16.4,15,80.4197685383141,0,80,282,2.9
1977-09-03,TRAIN,17,16.95,80.7029367373926,0,65,438,2.9
1977-09-04,TRAIN,17.4,20,79.8534321401569,0,40,594,2.9
1977-09-05,TRAIN,18.4,20.55,80.1366003392355,0,25,732,2.9
1977-09-06,TRAIN,19,20.25,78.4375911447641,0,15,738,2.9
1977-09-07,TRAIN,19.4,19.45,77.3049183484498,0.5,65,558,2.9
1977-09-08,TRAIN,18.1,13.6,75.8890773530569,0.3,50,456,2.9
1977-09-09,TEST,15.9,13.35,74.1900681585855,0,0,774,2.9
1977-09-10,TRAIN,15.8,15.55,73.6237317604284,0,0,774,2.9
1977-09-11,TEST,16.2,16.1,73.6237317604284,0,20,594,2.9
1977-09-12,TEST,16.3,14.75,72.7742271631927,0,0,762,2.9
1977-09-13,TEST,16.5,16.35,66.2613585843855,0,0,762,2.9
1977-09-14,TEST,16.2,16.35,71.3583861677998,0,90,354,2.9
1977-09-15,TRAIN,16,13.6,76.7385819502927,7.4,100,0,2.9
1977-09-16,TRAIN,15.2,12.2,88.3484781125141,9.1,100,0,2.9
1977-09-17,TRAIN,14.4,10.55,93.1623374968497,1.5,85,90,2.9
1977-09-18,TRAIN,13,11.1,94.8613466913212,0,65,648,2.9
1977-09-19,TRAIN,14.1,13.65,95.1445148903998,0,100,288,2.9
1977-09-20,TEST,14.3,13.35,92.5960010986926,3.3,70,420,2.9
1977-09-21,TRAIN,14.3,10.55,94.295010293164,3.6,65,342,2.9
1977-09-22,TRAIN,13.2,8.85,97.6930286821069,0,75,354,2.9
1977-09-23,TRAIN,12.2,8.9,102.223719867364,0,50,594,2.9
1977-09-24,TRAIN,11.7,9.45,104.772233659071,1.5,90,78,2.9
1977-09-25,TRAIN,10.4,7.25,106.754411052621,0,60,312,2.9
1977-09-26,TRAIN,10.7,10,114.683120626821,0,30,684,2.9
1977-09-27,TEST,11.7,10.3,113.550447830507,0.5,90,432,2.9
1977-09-28,TRAIN,12.2,10.85,110.152429441564,3.3,100,120,2.9
1977-09-29,TRAIN,12.2,10.85,109.586093043407,7.6,100,12,2.9
1977-09-30,TRAIN,11.4,10,119.780148210235,10.4,100,0,2.9
1977-10-01,TEST,10.2,7.5,139.885090344814,0,90,72,2.9
1977-10-02,TRAIN,9.7,7.75,143.283108733757,0,60,606,2.9
1977-10-03,TEST,10,6.65,134.504894562321,0,50,342,2.9
1977-10-04,TRAIN,9.8,3.05,127.425689585357,0,40,408,2.9
1977-10-05,TEST,9.4,4.45,127.142521386278,0,95,60,2.9
1977-10-06,TRAIN,8.9,5.85,129.407866978907,1.5,95,150,2.9
1977-10-07,TEST,9,8.3,131.956380770614,0,85,156,2.9
1977-10-08,TRAIN,8.6,8.65,140.451426742971,0,95,162,2.9
1977-10-09,TRAIN,8.5,4.15,135.920735557714,0.3,95,12,2.9
1977-10-10,TRAIN,7.3,2.75,139.885090344814,0.3,45,660,2.9
1977-10-11,TRAIN,7.1,5,134.221726363242,0,0,672,2.9
1977-10-12,TRAIN,7.5,9.2,132.522717168771,0,5,666,2.9
1977-10-13,TRAIN,8.2,11.95,130.540539775221,0,90,108,2.9
1977-10-14,TEST,8.1,8.65,130.540539775221,0,75,492,2.9
1977-10-15,TEST,8.5,9.15,131.390044372457,0,5,660,2.9
1977-10-16,TRAIN,8.7,10,132.80588536785,0,20,630,2.9
1977-10-17,TRAIN,8.8,9.45,132.522717168771,0,80,480,2.9
1977-10-18,TEST,8.7,8.6,136.203903756793,0,5,624,2.9
1977-10-19,TEST,8.8,9.15,133.089053566928,0,60,402,2.9
1977-10-20,TRAIN,9.5,10,132.80588536785,0,60,642,2.9
1977-10-21,TRAIN,9.2,8.05,131.390044372457,0,30,540,2.9
1977-10-22,TEST,8.7,8.05,126.8593531872,0,70,624,2.9
1977-10-23,TRAIN,8.4,8.6,124.310839395493,0,55,378,2.9
1977-10-24,TRAIN,8.7,10.85,124.594007594571,0,80,432,2.9
1977-10-25,TRAIN,8.9,12.5,124.310839395493,2,85,30,2.9
1977-10-26,TRAIN,8.9,7.2,125.443512191807,0,70,162,2.9
1977-10-27,TEST,7.9,4.45,125.726680390885,0,35,354,2.9
1977-10-28,TRAIN,7.9,6.35,126.293016789043,0,60,372,2.9
1977-10-29,TRAIN,8.3,8.9,127.142521386278,0,95,84,2.9
1977-10-30,TEST,7.8,5.3,129.124698779828,0,65,264,2.9
1977-10-31,TRAIN,6.3,3.3,129.407866978907,0.3,45,372,2.9
1978-04-01,TRAIN,8.8,8.65,285.999881069356,2.8,95,186,2.9
1978-04-02,TEST,7.7,7.2,305.821655004856,0.3,75,378,2.9
1978-04-03,TRAIN,6.7,5.55,305.821655004856,0,70,384,2.9
1978-04-04,TRAIN,7,8.35,285.999881069356,0.3,70,498,2.9
1978-04-05,TRAIN,7.7,8.05,251.453360781771,0,60,546,2.9
1978-04-06,TRAIN,7,5,229.649409452721,0.8,90,378,2.9
1978-04-07,TRAIN,6.6,3.9,194.253384567899,1.5,100,0,2.9
1978-04-08,TRAIN,6.6,8.35,201.898925943021,0.3,70,402,2.9
1978-04-09,TEST,7.8,7.5,195.386057364214,0,40,774,2.9
1978-04-10,TRAIN,8.8,9.4,194.253384567899,0,55,666,2.9
1978-04-11,TEST,10.1,7.2,190.005861581721,0,50,708,2.9
1978-04-12,TEST,8.5,6.4,191.704870776192,0,65,582,2.9
1978-04-13,TEST,8.5,4.75,189.439525183564,0,25,684,2.9
1978-04-14,TEST,8.7,6.95,185.758338595542,0,85,336,2.9
1978-04-15,TRAIN,8.8,9.45,176.980124424107,0,100,270,2.9
1978-04-16,TRAIN,9.6,10.3,177.546460822264,2.5,100,258,2.9
1978-04-17,TRAIN,7.9,5.8,184.059329401071,0,100,42,2.9
1978-04-18,TRAIN,7.3,8.6,188.590020586328,0,70,450,2.9
1978-04-19,TEST,9.1,8.3,186.3246749937,0,45,804,2.9
1978-04-20,TRAIN,9.8,10.3,178.112797220421,5.1,100,270,2.9
1978-04-21,TRAIN,9.1,6.95,178.679133618578,3,100,330,2.9
1978-04-22,TRAIN,7.7,7.75,183.492993002914,0,70,690,2.9
1978-04-23,TEST,7.8,6.95,178.3959654195,0,50,720,2.9
1978-04-24,TRAIN,8.6,8.85,170.4672558453,0,55,636,2.9
1978-04-25,TEST,10.7,13.6,164.52072366465,0,95,318,2.9
1978-04-26,TEST,11.3,13.9,163.954387266492,4.3,95,372,2.9
1978-04-27,TRAIN,11.2,13.05,171.883096840692,3,80,522,2.9
1978-04-28,TRAIN,12.3,14.15,185.475170396464,0,70,564,2.9
1978-04-29,TRAIN,11.7,12.5,201.898925943021,0,90,288,2.9
1978-04-30,TRAIN,11.7,13.05,206.995953526435,0,100,18,2.9
1978-05-01,TRAIN,11.2,13.9,207.845458123671,0,90,276,2.9
1978-05-02,TRAIN,10.8,12.2,218.889017887735,0,90,180,2.9
1978-05-03,TRAIN,11,10.25,244.940492202964,0,70,450,2.9
1978-05-04,TRAIN,10.1,6.95,255.984051967028,0,85,474,2.9
1978-05-05,TEST,8.7,6.1,252.302865379006,0.5,100,0,2.9
1978-05-06,TRAIN,7.7,7.75,247.205837795592,0.8,100,42,2.9
1978-05-07,TRAIN,7.4,10,240.692969216785,0.3,95,132,2.9
1978-05-08,TRAIN,8.5,9.7,232.764259642585,0,30,708,2.9
1978-05-09,TRAIN,10.8,13.6,218.039513290499,2.5,80,492,2.9
1978-05-10,TRAIN,12.1,13.85,206.146448929199,0,85,390,2.9
1978-05-11,TRAIN,11.5,10.85,210.393971915378,0.5,90,354,2.9
1978-05-12,TRAIN,10.7,11.65,225.118718267464,0,70,684,2.9
1978-05-13,TRAIN,11.9,14.45,227.667232059171,0,85,252,2.9
1978-05-14,TRAIN,13.9,19.75,220.871195281285,0,85,576,2.9
1978-05-15,TEST,14.7,16.4,223.702877272071,3.6,55,534,2.9
1978-05-16,TRAIN,13.3,11.4,255.417715568871,1.3,95,300,2.9
1978-05-17,TRAIN,10.6,9.75,308.653336995642,2.8,100,0,2.9
1978-05-18,TEST,9.3,9.7,322.811746949571,2,100,0,2.9
1978-05-19,TRAIN,9.1,13.3,339.801838894285,0,75,300,2.9
1978-05-20,TRAIN,10.8,13.85,325.643428940356,0.8,60,570,2.9
1978-05-21,TRAIN,12.6,15.25,305.821655004856,1.3,40,726,2.9
1978-05-22,TRAIN,13.8,14.7,291.663245050928,4.6,80,342,2.9
1978-05-23,TRAIN,13.1,9.75,300.158291023285,3.3,90,12,2.9
1978-05-24,TRAIN,12.7,11.4,325.643428940356,0,80,582,2.9
1978-05-25,TRAIN,11.2,8.9,362.45529482057,0,85,378,2.9
1978-05-26,TEST,10.4,10,365.286976811356,0,40,810,2.9
1978-05-27,TEST,12,12.5,336.970156903499,0,55,732,2.9
1978-05-28,TRAIN,13.4,15.55,305.821655004856,0,60,744,2.9
1978-05-29,TEST,13.4,11.65,288.831563060142,0.3,60,558,2.9
1978-05-30,TRAIN,11.9,10.85,285.999881069356,1.8,90,228,2.9
1978-05-31,TEST,10.8,8.9,279.770180689628,4.3,100,0,2.9
1978-06-01,TRAIN,10.9,12.5,271.841471115428,0,75,576,2.9
1978-06-02,TRAIN,13.1,13.9,255.134547369792,0,20,876,2.9
1978-06-03,TEST,14.6,16.15,240.126632818628,0,35,780,2.9
1978-06-04,TRAIN,15.2,17.8,233.047427841664,0,45,864,2.9
1978-06-05,TEST,16.4,18.9,229.366241253642,0,35,900,2.9
1978-06-06,TEST,16.9,21.1,251.170192582692,0,80,648,2.9
1978-06-07,TEST,15.9,18.9,288.831563060142,0,50,576,2.9
1978-06-08,TRAIN,15.9,20.55,353.960248848213,0,10,942,2.9
1978-06-09,TEST,16.6,18.05,385.108750746856,0,55,810,2.9
1978-06-10,TEST,14.9,14.45,419.088934636285,0,100,234,2.9
1978-06-11,TRAIN,12,15,450.237436534927,0,65,594,2.9
1978-06-12,TRAIN,12.9,16.35,441.74239056257,0,65,738,2.9
1978-06-13,TRAIN,14.8,20,387.940432737642,0,55,462,2.9
1978-06-14,TRAIN,14.9,17.5,368.118658802142,0,60,618,2.9
1978-06-15,TRAIN,14.2,15.55,373.782022783713,0,35,864,2.9
1978-06-16,TRAIN,13.9,12.75,379.445386765285,0,65,588,2.9
1978-06-17,TEST,14.7,16.95,362.45529482057,0,25,894,2.9
1978-06-18,TEST,15.4,18.85,334.138474912713,5.6,50,510,2.9
1978-06-19,TRAIN,14.8,11.1,322.811746949571,0,70,354,2.9
1978-06-20,TRAIN,14.5,14.45,317.148382967999,0,0,954,2.9
1978-06-21,TRAIN,16,18.05,317.148382967999,1,40,648,2.9
1978-06-22,TRAIN,16.6,18.9,314.316700977213,2,45,750,2.9
1978-06-23,TRAIN,17,18.6,311.485018986428,0,40,816,2.9
1978-06-24,TRAIN,16.8,18.05,305.821655004856,0,75,468,2.9
1978-06-25,TRAIN,14.7,13.65,319.980064958785,0,100,12,2.9
1978-06-26,TRAIN,14.3,17.8,336.970156903499,0.3,65,390,2.9
1978-06-27,TRAIN,16.7,17.75,308.653336995642,0,0,948,2.9
1978-06-28,TEST,18.2,21.95,283.168199078571,0,10,846,2.9
1978-06-29,TRAIN,19,22.75,270.142461920956,0.8,40,594,2.9
1978-06-30,TRAIN,18.6,21.1,266.178107133856,1.5,30,696,2.9
1978-07-01,TRAIN,18,19.15,265.328602536621,0.5,35,636,2.9
1978-07-02,TRAIN,18.1,20.3,264.762266138464,8.9,80,504,2.9
1978-07-03,TRAIN,17.6,18.05,266.744443532014,1.8,70,306,2.9
1978-07-04,TRAIN,16.1,13.6,275.522657703449,16.3,85,120,2.9
1978-07-05,TRAIN,15.2,13.85,288.831563060142,11.7,100,0,2.9
1978-07-06,TRAIN,15.5,17.25,300.158291023285,0,85,390,2.9
1978-07-07,TRAIN,17.2,18.05,291.663245050928,13.2,50,576,2.9
1978-07-08,TRAIN,17.6,16.95,269.859293721878,1.3,95,126,2.9
1978-07-09,TRAIN,17.9,18.65,257.116724763342,0,50,696,2.9
1978-07-10,TRAIN,18.7,21.1,250.320687985457,4.6,70,696,2.9
1978-07-11,TRAIN,18,19.45,240.409801017707,0,25,888,2.9
1978-07-12,TRAIN,18.1,17.2,228.233568457328,0,0,936,2.9
1978-07-13,TEST,19.2,19.7,209.827635517221,0,5,930,2.9
1978-07-14,TRAIN,19.9,20.8,190.005861581721,0,0,930,2.9
1978-07-15,TRAIN,20.5,23.35,175.564283428714,1.3,40,702,2.9
1978-07-16,TEST,20.2,20.8,173.865274234242,9.7,65,432,2.9
1978-07-17,TRAIN,19.2,18.6,163.671219067414,0,65,540,2.9
1978-07-18,TRAIN,19.6,18.6,163.954387266492,0.3,70,666,2.9
1978-07-19,TEST,18,15.85,156.875182289528,0,90,384,2.9
1978-07-20,TRAIN,17.2,16.65,156.308845891371,0,80,390,2.9
1978-07-21,TEST,16.6,16.4,167.069237456357,0,25,834,2.9
1978-07-22,TRAIN,18.7,18.6,162.5385462711,0,0,918,2.9
1978-07-23,TRAIN,19.9,21.95,155.176173095057,0,65,816,2.9
1978-07-24,TRAIN,21,22.75,146.964295321778,2.5,40,642,2.9
1978-07-25,TRAIN,21.1,22.5,135.637567358635,0,0,906,2.9
1978-07-26,TRAIN,21.7,22.5,124.027671196414,0,5,858,2.9
1978-07-27,TRAIN,22,25.3,112.700943233271,0,30,762,2.9
1978-07-28,TRAIN,21.9,20.25,102.506888066443,0,70,480,2.9
1978-07-29,TEST,21.3,21.95,108.170252048014,0,5,900,2.9
1978-07-30,TRAIN,21.7,21.95,105.904906455385,0,0,894,2.9
1978-07-31,TEST,21.6,22.75,104.772233659071,0,10,876,2.9
1978-08-01,TRAIN,21.3,19.2,98.5425332793426,0.5,50,630,2.9
1978-08-02,TRAIN,19.8,16.4,89.1979827097498,0,45,558,2.9
1978-08-03,TRAIN,19.5,18.05,84.1009551263355,0,0,888,2.9
1978-08-04,TEST,20.4,20.55,80.9861049364712,0,15,882,2.9
1978-08-05,TRAIN,21,23.35,78.4375911447641,0.3,40,570,2.9
1978-08-06,TRAIN,21.3,23.3,75.8890773530569,0,40,882,2.9
1978-08-07,TRAIN,21.9,24.15,71.924722565957,0,0,876,2.9
1978-08-08,TRAIN,21.8,22.2,67.960367778857,0,0,876,2.9
1978-08-09,TEST,22.2,23.6,66.2613585843855,0,20,792,2.9
1978-08-10,TRAIN,22,24.15,63.4296765935998,0,15,846,2.9
1978-08-11,TRAIN,21.4,22.5,58.049480811107,0,65,708,2.9
1978-08-12,TRAIN,20.6,21.95,56.6336398157141,0,55,564,2.9
1978-08-13,TEST,18.6,15.8,58.6158172092641,1.5,95,108,2.9
1978-08-14,TEST,16.7,16.4,66.2613585843855,0,70,546,2.9
1978-08-15,TEST,16.1,18.65,65.4118539871498,0.5,85,360,2.9
1978-08-16,TEST,16.1,15.85,67.960367778857,0.5,100,312,2.9
1978-08-17,TRAIN,13.9,10.3,76.7385819502927,2.5,90,66,2.9
1978-08-18,TRAIN,13.4,13.6,80.1366003392355,0,65,702,2.9
1978-08-19,TEST,15.3,15.3,86.6494689180426,0,85,396,2.9
1978-08-20,TRAIN,16.2,18.65,90.3306555060641,0,80,534,2.9
1978-08-21,TRAIN,17.3,17.75,91.4633283023783,0,35,696,2.9
1978-08-22,TRAIN,18.1,16.95,87.4989735152783,0.3,65,630,2.9
1978-08-23,TRAIN,16.7,15.85,84.9504597235712,0,50,684,2.9
1978-08-24,TRAIN,16.5,19.7,84.9504597235712,0,90,750,2.9
1978-08-25,TEST,17.3,19.4,84.6672915244926,0,35,666,2.9
1978-08-26,TRAIN,17.6,16.35,84.6672915244926,8.4,90,462,2.9
1978-08-27,TRAIN,17.8,17.2,85.7999643208069,0.5,65,624,2.9
1978-08-28,TEST,17.6,14.2,89.1979827097498,0,65,462,2.9
1978-08-29,TRAIN,17.6,18.35,90.6138237051426,0,15,792,2.9
1978-08-30,TEST,18,18.05,90.8969919042212,0,65,540,2.9
1978-08-31,TRAIN,17.8,18.35,90.0474873069855,0,70,498,2.9
1978-09-01,TRAIN,17.4,19.15,90.0474873069855,0,35,660,2.9
1978-09-02,TRAIN,17.7,21.4,90.0474873069855,0,30,744,2.9
1978-09-03,TRAIN,18.5,20.55,88.9148145106712,0.5,60,402,2.9
1978-09-04,TRAIN,18,21.95,88.0653099134355,0.5,75,408,2.9
1978-09-05,TRAIN,18.5,20.25,86.3663007189641,5.3,100,6,2.9
1978-09-06,TRAIN,18.6,21.4,87.4989735152783,2.5,80,312,2.9
1978-09-07,TEST,18.2,21.95,92.312832899614,0,70,396,2.9
1978-09-08,TEST,17.5,15.25,96.8435240848712,0.3,35,654,2.9
1978-09-09,TEST,15.5,16.1,99.9583742747355,0,60,714,2.9
1978-09-10,TRAIN,15.5,16.1,98.8257014784212,5.6,100,0,2.9
1978-09-11,TEST,14.1,9.75,106.188074654464,7.6,100,0,2.9
1978-09-12,TEST,11.3,6.95,136.487071955871,5.3,100,0,2.9
1978-09-13,TEST,9.9,10.85,160.273200678471,0,90,396,2.9
1978-09-14,TRAIN,11.8,13.35,165.087060062807,0,35,750,2.9
1978-09-15,TEST,12.9,12.8,152.061322905192,0,55,360,2.9
1978-09-16,TRAIN,12.8,10.6,146.6811271227,0,30,708,2.9
1978-09-17,TRAIN,12.3,6.35,143.283108733757,0,40,660,2.9
1978-09-18,TEST,10.9,6.65,144.69894972915,0.3,100,0,2.9
1978-09-19,TRAIN,8.7,7.25,163.671219067414,0.3,75,186,2.9
1978-09-20,TRAIN,9,7.5,160.273200678471,0,40,576,2.9
1978-09-21,TRAIN,10.1,10.55,159.140527882157,0,40,594,2.9
1978-09-22,TEST,11,12.25,163.954387266492,0,85,330,2.9
1978-09-23,TEST,12,14.4,158.857359683078,0,45,612,2.9
1978-09-24,TRAIN,13,15,156.875182289528,0,40,708,2.9
1978-09-25,TEST,13.7,16.65,156.59201409045,0,35,654,2.9
1978-09-26,TEST,14.4,18.9,155.742509493214,0,35,678,2.9
1978-09-27,TRAIN,14.8,17.2,156.308845891371,0,80,504,2.9
1978-09-28,TEST,14,13.35,158.291023284921,0,95,114,2.9
1978-09-29,TRAIN,13.2,13.6,159.990032479392,0,55,690,2.9
1978-09-30,TRAIN,12.9,13.35,153.760332099664,0,75,540,2.9
1978-10-01,TRAIN,12.9,11.4,150.6454819098,0,40,624,2.9
1978-10-02,TRAIN,11.8,8.65,148.380136317171,0,15,672,2.9
1978-10-03,TRAIN,10.7,8.05,147.247463520857,0,80,330,2.9
1978-10-04,TRAIN,10.6,8.35,146.114790724542,0,15,690,2.9
1978-10-05,TRAIN,10.8,8.05,144.982117928228,0,0,690,2.9
1978-10-06,TRAIN,10.7,9.15,143.849445131914,0,0,684,2.9
1978-10-07,TRAIN,10.7,11.65,142.7167723356,0,40,630,2.9
1978-10-08,TRAIN,11.2,13.6,142.433604136521,0,20,672,2.9
1978-10-09,TRAIN,11.4,12.5,141.017763141128,0,20,582,2.9
1978-10-10,TRAIN,11,11.4,142.433604136521,0,70,432,2.9
1978-10-11,TEST,11.1,13.85,142.150435937442,0,90,414,2.9
1978-10-12,TEST,10.4,5.55,145.831622525464,0,50,348,2.9
1978-10-13,TEST,9,5,145.831622525464,0,35,648,2.9
1978-10-14,TEST,8.7,8.65,144.132613330992,0,25,660,2.9
1978-10-15,TRAIN,9.3,9.75,144.982117928228,0,20,660,2.9
1978-10-16,TRAIN,9.7,10.8,144.982117928228,0,100,90,2.9
1978-10-17,TRAIN,10.3,8.85,145.265286127307,0.3,100,180,2.9
1978-10-18,TRAIN,10.5,8.05,147.530631719935,0,20,648,2.9
1978-10-19,TRAIN,10.1,10.3,149.229640914407,0,0,642,2.9
1978-10-20,TRAIN,10,9.7,149.795977312564,0,70,174,2.9
1978-10-21,TRAIN,9.7,6.95,148.66330451625,0,85,240,2.9
1978-10-22,TRAIN,8.5,3.05,147.247463520857,0,25,636,2.9
1978-10-23,TRAIN,8.3,8.05,146.964295321778,0,80,198,2.9
1978-10-24,TRAIN,8.2,8.05,143.849445131914,0,90,60,2.9
1978-10-25,TRAIN,6.9,2.25,143.283108733757,0,40,516,2.9
1978-10-26,TRAIN,6.7,6.65,144.69894972915,0,45,546,2.9
1978-10-27,TEST,6.8,9.45,144.415781530071,0,85,312,2.9
1978-10-28,TRAIN,7.2,8.9,145.831622525464,0,50,498,2.9
1978-10-29,TRAIN,7.1,3.35,147.247463520857,0.3,70,108,2.9
1978-10-30,TEST,4.9,0.55,149.512809113485,0,5,612,2.9
1978-10-31,TRAIN,4.1,-0.55,147.813799919014,0,75,606,2.9
1979-04-01,TRAIN,4.2,-1.4,146.397958923621,0,75,432,2.9
1979-04-02,TRAIN,3.8,-1.4,140.73459494205,1.3,90,264,2.9
1979-04-03,TEST,3.8,-1.65,139.318753946657,0,95,312,2.9
1979-04-04,TEST,3.9,6.7,138.186081150343,0,95,702,2.9
1979-04-05,TRAIN,5.4,10.55,137.902912951264,0,90,300,2.9
1979-04-06,TRAIN,7.5,10,144.69894972915,0,90,258,2.9
1979-04-07,TEST,7.8,7.75,164.52072366465,0,80,264,2.9
1979-04-08,TRAIN,7.3,7.8,175.847451627792,0,90,486,2.9
1979-04-09,TRAIN,7.5,6.4,175.847451627792,6.9,95,36,2.9
1979-04-10,TEST,6.2,3.35,176.130619826871,6.1,100,0,2.9
1979-04-11,TRAIN,5.7,3.05,172.166265039771,1,90,258,2.9
1979-04-12,TEST,5.8,5,164.237555465571,0,80,378,2.9
1979-04-13,TEST,6.6,6.4,159.140527882157,0,80,384,2.9
1979-04-14,TRAIN,6.2,7.5,157.724686886764,0,85,462,2.9
1979-04-15,TRAIN,7.9,8.35,157.724686886764,0,95,390,2.9
1979-04-16,TEST,8.3,11.15,161.689041673864,0,95,336,2.9
1979-04-17,TRAIN,9.2,8.9,164.237555465571,0.3,75,288,2.9
1979-04-18,TRAIN,8.3,3.35,186.891011391857,11.9,100,30,2.9
1979-04-19,TRAIN,6.5,4.45,207.279121725514,0,65,564,2.9
1979-04-20,TRAIN,6.3,3.9,210.110803716299,0,40,756,2.9
1979-04-21,TEST,7.4,5.25,197.368234757764,0,40,744,2.9
1979-04-22,TEST,8.5,7.25,183.492993002914,2.5,100,108,2.9
1979-04-23,TRAIN,7.8,1.35,188.023684188171,20.8,100,0,2.9
1979-04-24,TEST,6.1,1.35,203.881103336571,2,100,0,2.9
1979-04-25,TEST,6.8,5.55,220.021690684049,0,85,288,2.9
1979-04-26,TRAIN,8,8.6,218.889017887735,1,70,288,2.9
1979-04-27,TRAIN,9.4,9.45,209.544467318142,0,5,852,2.9
1979-04-28,TRAIN,11.1,9.7,210.393971915378,0,25,846,2.9
1979-04-29,TRAIN,11.5,8.85,228.233568457328,0.3,80,396,2.9
1979-04-30,TRAIN,11.2,10,252.869201777164,3.3,95,462,2.9
1979-05-01,TRAIN,10.6,6.95,269.859293721878,1.3,90,162,2.9
1979-05-02,TRAIN,9.9,9.75,274.673153106214,0,45,786,2.9
1979-05-03,TRAIN,10.6,8.9,272.974143911742,0,40,798,2.9
1979-05-04,TEST,11.2,10.55,264.195929740306,0,95,264,2.9
