# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-15 12:49:49 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06054500 Missouri River at Toston MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 06054500
#            TS   parameter     statistic     Description
#         80893       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         80894       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         80895       00010     00003     Temperature, water, degrees Celsius (Mean)
#         80896       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	80893_00010_00001	80893_00010_00001_cd	80894_00010_00002	80894_00010_00002_cd	80895_00010_00003	80895_00010_00003_cd	80896_00060_00003	80896_00060_00003_cd
USGS	06054500	1951-06-15							7790	A
USGS	06054500	1951-06-16							9030	A
USGS	06054500	1951-06-17							10300	A
USGS	06054500	1951-06-18							11300	A
USGS	06054500	1951-06-19							10900	A
USGS	06054500	1951-06-20							10300	A
USGS	06054500	1951-06-21							9530	A
USGS	06054500	1951-06-22							8370	A
USGS	06054500	1951-06-23							7870	A
USGS	06054500	1951-06-24							7480	A
USGS	06054500	1951-06-25							6920	A
USGS	06054500	1951-06-26							7090	A
USGS	06054500	1951-06-27							6430	A
USGS	06054500	1951-06-28							5950	A
USGS	06054500	1951-06-29							5620	A
USGS	06054500	1951-06-30							5070	A
USGS	06054500	1951-07-01							4710	A
USGS	06054500	1951-07-02							4610	A
USGS	06054500	1951-07-03							4790	A
USGS	06054500	1951-07-04							5120	A
USGS	06054500	1951-07-05							5290	A
USGS	06054500	1951-07-06							5290	A
USGS	06054500	1951-07-07							5070	A
USGS	06054500	1951-07-08							4810	A
USGS	06054500	1951-07-09							4210	A
USGS	06054500	1951-07-10							4210	A
USGS	06054500	1951-07-11							4210	A
USGS	06054500	1951-07-12							4310	A
USGS	06054500	1951-07-13							4400	A
USGS	06054500	1951-07-14							4650	A
USGS	06054500	1951-07-15							4480	A
USGS	06054500	1951-07-16							4000	A
USGS	06054500	1951-07-17							3600	A
USGS	06054500	1951-07-18							3320	A
USGS	06054500	1951-07-19							3150	A
USGS	06054500	1951-07-20							3130	A
USGS	06054500	1951-07-21							3050	A
USGS	06054500	1951-07-22							3020	A
USGS	06054500	1951-07-23							2810	A
USGS	06054500	1951-07-24							2960	A
USGS	06054500	1951-07-25							2860	A
USGS	06054500	1951-07-26							2750	A
USGS	06054500	1951-07-27							2680	A
USGS	06054500	1951-07-28							2640	A
USGS	06054500	1951-07-29							2590	A
USGS	06054500	1951-07-30							2650	A
USGS	06054500	1951-07-31							2680	A
USGS	06054500	1951-08-01							2680	A
USGS	06054500	1951-08-02							2730	A
USGS	06054500	1951-08-03							2750	A
USGS	06054500	1951-08-04							2880	A
USGS	06054500	1951-08-05							3150	A
USGS	06054500	1951-08-06							3370	A
USGS	06054500	1951-08-07							3400	A
USGS	06054500	1951-08-08							3540	A
USGS	06054500	1951-08-09							3600	A
USGS	06054500	1951-08-10							3570	A
USGS	06054500	1951-08-11							3570	A
USGS	06054500	1951-08-12							3620	A
USGS	06054500	1951-08-13							3600	A
USGS	06054500	1951-08-14							3490	A
USGS	06054500	1951-08-15							3350	A
USGS	06054500	1951-08-16							3210	A
USGS	06054500	1951-08-17							3080	A
USGS	06054500	1951-08-18							2970	A
USGS	06054500	1951-08-19							2910	A
USGS	06054500	1951-08-20							2780	A
USGS	06054500	1951-08-21							2720	A
USGS	06054500	1951-08-22							2720	A
USGS	06054500	1951-08-23							2840	A
USGS	06054500	1951-08-24							3180	A
USGS	06054500	1951-08-25							3420	A
USGS	06054500	1951-08-26							3500	A
USGS	06054500	1951-08-27							3620	A
USGS	06054500	1951-08-28							3710	A
USGS	06054500	1951-08-29							3660	A
USGS	06054500	1951-08-30							3660	A
USGS	06054500	1951-08-31							3940	A
USGS	06054500	1951-09-01							4090	A
USGS	06054500	1951-09-02							4070	A
USGS	06054500	1951-09-03							3870	A
USGS	06054500	1951-09-04							3870	A
USGS	06054500	1951-09-05							3820	A
USGS	06054500	1951-09-06							3620	A
USGS	06054500	1951-09-07							3590	A
USGS	06054500	1951-09-08							3640	A
USGS	06054500	1951-09-09							3640	A
USGS	06054500	1951-09-10							3540	A
USGS	06054500	1951-09-11							3640	A
USGS	06054500	1951-09-12							3620	A
USGS	06054500	1951-09-13							3620	A
USGS	06054500	1951-09-14							3600	A
USGS	06054500	1951-09-15							3520	A
USGS	06054500	1951-09-16							3520	A
USGS	06054500	1951-09-17							3440	A
USGS	06054500	1951-09-18							3490	A
USGS	06054500	1951-09-19							3470	A
USGS	06054500	1951-09-20							3420	A
USGS	06054500	1951-09-21							3490	A
USGS	06054500	1951-09-22							3520	A
USGS	06054500	1951-09-23							3800	A
USGS	06054500	1951-09-24							3850	A
USGS	06054500	1951-09-25							3920	A
USGS	06054500	1951-09-26							4070	A
USGS	06054500	1951-09-27							3960	A
USGS	06054500	1951-09-28							4000	A
USGS	06054500	1951-09-29							3870	A
USGS	06054500	1951-09-30							3820	A
USGS	06054500	1951-10-01							3820	A
USGS	06054500	1951-10-02							3870	A
USGS	06054500	1951-10-03							4000	A
USGS	06054500	1951-10-04							4010	A
USGS	06054500	1951-10-05							4120	A
USGS	06054500	1951-10-06							4120	A
USGS	06054500	1951-10-07							4070	A
USGS	06054500	1951-10-08							3960	A
USGS	06054500	1951-10-09							4000	A
USGS	06054500	1951-10-10							4050	A
USGS	06054500	1951-10-11							4090	A
USGS	06054500	1951-10-12							4050	A
USGS	06054500	1951-10-13							4010	A
USGS	06054500	1951-10-14							3980	A
USGS	06054500	1951-10-15							3980	A
USGS	06054500	1951-10-16							3520	A
USGS	06054500	1951-10-17							3780	A
USGS	06054500	1951-10-18							4000	A
USGS	06054500	1951-10-19							4120	A
USGS	06054500	1951-10-20							4290	A
USGS	06054500	1951-10-21							4440	A
USGS	06054500	1951-10-22							4520	A
USGS	06054500	1951-10-23							4750	A
USGS	06054500	1951-10-24							4770	A
USGS	06054500	1951-10-25							4770	A
USGS	06054500	1951-10-26							4100	A
USGS	06054500	1951-10-27							3980	A
USGS	06054500	1951-10-28							4340	A
USGS	06054500	1951-10-29							4320	A
USGS	06054500	1951-10-30							4500	A
USGS	06054500	1951-10-31							4500	A
USGS	06054500	1951-11-01							4360	A
USGS	06054500	1951-11-02							4340	A
USGS	06054500	1951-11-03							4340	A
USGS	06054500	1951-11-04							4360	A
USGS	06054500	1951-11-05							4440	A
USGS	06054500	1951-11-06							4520	A
USGS	06054500	1951-11-07							4520	A
USGS	06054500	1951-11-08							4460	A
USGS	06054500	1951-11-09							4500	A
USGS	06054500	1951-11-10							4500	A
USGS	06054500	1951-11-11							4460	A
USGS	06054500	1951-11-12							4460	A
USGS	06054500	1951-11-13							4500	A
USGS	06054500	1951-11-14							4480	A
USGS	06054500	1951-11-15							4440	A
USGS	06054500	1951-11-16							4270	A
USGS	06054500	1951-11-17							3920	A
USGS	06054500	1951-11-18							3960	A
USGS	06054500	1951-11-19							3760	A
USGS	06054500	1951-11-20							3700	A
USGS	06054500	1951-11-21							3800	A
USGS	06054500	1951-11-22							3900	A
USGS	06054500	1951-11-23							4000	A
USGS	06054500	1951-11-24							4000	A
USGS	06054500	1951-11-25							4050	A
USGS	06054500	1951-11-26							4120	A
USGS	06054500	1951-11-27							4120	A
USGS	06054500	1951-11-28							4120	A
USGS	06054500	1951-11-29							4160	A
USGS	06054500	1951-11-30							4160	A
USGS	06054500	1951-12-01							4190	A
USGS	06054500	1951-12-02							4310	A
USGS	06054500	1951-12-03							4270	A
USGS	06054500	1951-12-04							4160	A
USGS	06054500	1951-12-05							4090	A
USGS	06054500	1951-12-06							3850	A
USGS	06054500	1951-12-07							3700	A
USGS	06054500	1951-12-08							3500	A
USGS	06054500	1951-12-09							3180	A
USGS	06054500	1951-12-10							3160	A
USGS	06054500	1951-12-11							3640	A
USGS	06054500	1951-12-12							4050	A
USGS	06054500	1951-12-13							3890	A
USGS	06054500	1951-12-14							3210	A
USGS	06054500	1951-12-15							2510	A
USGS	06054500	1951-12-16							2400	A
USGS	06054500	1951-12-17							2800	A
USGS	06054500	1951-12-18							3300	A
USGS	06054500	1951-12-19							3400	A
USGS	06054500	1951-12-20							2300	A
USGS	06054500	1951-12-21							2300	A
USGS	06054500	1951-12-22							2700	A
USGS	06054500	1951-12-23							3000	A
USGS	06054500	1951-12-24							3100	A
USGS	06054500	1951-12-25							3100	A
USGS	06054500	1951-12-26							3100	A
USGS	06054500	1951-12-27							3000	A
USGS	06054500	1951-12-28							2900	A
USGS	06054500	1951-12-29							2800	A
USGS	06054500	1951-12-30							2800	A
USGS	06054500	1951-12-31							2800	A
USGS	06054500	1952-01-01							2800	A
USGS	06054500	1952-01-02							2800	A
USGS	06054500	1952-01-03							2800	A
USGS	06054500	1952-01-04							2800	A
USGS	06054500	1952-01-05							2800	A
USGS	06054500	1952-01-06							2800	A
USGS	06054500	1952-01-07							2800	A
USGS	06054500	1952-01-08							2800	A
USGS	06054500	1952-01-09							2900	A
USGS	06054500	1952-01-10							2900	A
USGS	06054500	1952-01-11							2900	A
USGS	06054500	1952-01-12							2900	A
USGS	06054500	1952-01-13							2900	A
USGS	06054500	1952-01-14							2900	A
USGS	06054500	1952-01-15							2900	A
USGS	06054500	1952-01-16							2900	A
USGS	06054500	1952-01-17							2900	A
USGS	06054500	1952-01-18							2900	A
USGS	06054500	1952-01-19							3000	A
USGS	06054500	1952-01-20							3100	A
USGS	06054500	1952-01-21							3200	A
USGS	06054500	1952-01-22							3200	A
USGS	06054500	1952-01-23							3200	A
USGS	06054500	1952-01-24							3400	A
USGS	06054500	1952-01-25							3670	A
USGS	06054500	1952-01-26							3690	A
USGS	06054500	1952-01-27							3710	A
USGS	06054500	1952-01-28							3820	A
USGS	06054500	1952-01-29							3850	A
USGS	06054500	1952-01-30							4000	A
USGS	06054500	1952-01-31							4100	A
USGS	06054500	1952-02-01							4090	A
USGS	06054500	1952-02-02							4180	A
USGS	06054500	1952-02-03							4190	A
USGS	06054500	1952-02-04							4120	A
USGS	06054500	1952-02-05							4210	A
USGS	06054500	1952-02-06							4140	A
USGS	06054500	1952-02-07							4140	A
USGS	06054500	1952-02-08							4120	A
USGS	06054500	1952-02-09							4210	A
USGS	06054500	1952-02-10							4210	A
USGS	06054500	1952-02-11							4180	A
USGS	06054500	1952-02-12							4090	A
USGS	06054500	1952-02-13							4180	A
USGS	06054500	1952-02-14							4030	A
USGS	06054500	1952-02-15							3920	A
USGS	06054500	1952-02-16							3900	A
USGS	06054500	1952-02-17							3800	A
USGS	06054500	1952-02-18							3800	A
USGS	06054500	1952-02-19							3800	A
USGS	06054500	1952-02-20							3800	A
USGS	06054500	1952-02-21							3700	A
USGS	06054500	1952-02-22							3700	A
USGS	06054500	1952-02-23							3700	A
USGS	06054500	1952-02-24							3700	A
USGS	06054500	1952-02-25							3710	A
USGS	06054500	1952-02-26							3570	A
USGS	06054500	1952-02-27							3570	A
USGS	06054500	1952-02-28							3690	A
USGS	06054500	1952-02-29							3640	A
USGS	06054500	1952-03-01							3600	A
USGS	06054500	1952-03-02							3600	A
USGS	06054500	1952-03-03							3600	A
USGS	06054500	1952-03-04							3570	A
USGS	06054500	1952-03-05							3640	A
USGS	06054500	1952-03-06							3620	A
USGS	06054500	1952-03-07							3640	A
USGS	06054500	1952-03-08							3660	A
USGS	06054500	1952-03-09							3670	A
USGS	06054500	1952-03-10							3780	A
USGS	06054500	1952-03-11							3760	A
USGS	06054500	1952-03-12							3740	A
USGS	06054500	1952-03-13							3690	A
USGS	06054500	1952-03-14							3740	A
USGS	06054500	1952-03-15							3960	A
USGS	06054500	1952-03-16							4120	A
USGS	06054500	1952-03-17							4230	A
USGS	06054500	1952-03-18							4460	A
USGS	06054500	1952-03-19							4570	A
USGS	06054500	1952-03-20							4590	A
USGS	06054500	1952-03-21							4440	A
USGS	06054500	1952-03-22							4310	A
USGS	06054500	1952-03-23							4320	A
USGS	06054500	1952-03-24							4420	A
USGS	06054500	1952-03-25							4650	A
USGS	06054500	1952-03-26							4890	A
USGS	06054500	1952-03-27							5140	A
USGS	06054500	1952-03-28							5240	A
USGS	06054500	1952-03-29							5510	A
USGS	06054500	1952-03-30							5310	A
USGS	06054500	1952-03-31							5240	A
USGS	06054500	1952-04-01							5310	A
USGS	06054500	1952-04-02							5260	A
USGS	06054500	1952-04-03							5260	A
USGS	06054500	1952-04-04							5440	A
USGS	06054500	1952-04-05							6020	A
USGS	06054500	1952-04-06							6660	A
USGS	06054500	1952-04-07							8220	A
USGS	06054500	1952-04-08							7650	A
USGS	06054500	1952-04-09							7170	A
USGS	06054500	1952-04-10							6740	A
USGS	06054500	1952-04-11							6660	A
USGS	06054500	1952-04-12							6840	A
USGS	06054500	1952-04-13							6950	A
USGS	06054500	1952-04-14							7340	A
USGS	06054500	1952-04-15							7760	A
USGS	06054500	1952-04-16							8160	A
USGS	06054500	1952-04-17							8460	A
USGS	06054500	1952-04-18							8730	A
USGS	06054500	1952-04-19							9590	A
USGS	06054500	1952-04-20							10600	A
USGS	06054500	1952-04-21							11700	A
USGS	06054500	1952-04-22							11000	A
USGS	06054500	1952-04-23							9300	A
USGS	06054500	1952-04-24							8460	A
USGS	06054500	1952-04-25							8700	A
USGS	06054500	1952-04-26							9430	A
USGS	06054500	1952-04-27							10500	A
USGS	06054500	1952-04-28							11700	A
USGS	06054500	1952-04-29							12900	A
USGS	06054500	1952-04-30							13200	A
USGS	06054500	1952-05-01							13100	A
USGS	06054500	1952-05-02							12900	A
USGS	06054500	1952-05-03							13200	A
USGS	06054500	1952-05-04							14300	A
USGS	06054500	1952-05-05							16200	A
USGS	06054500	1952-05-06							16500	A
USGS	06054500	1952-05-07							15400	A
USGS	06054500	1952-05-08							14900	A
USGS	06054500	1952-05-09							14100	A
USGS	06054500	1952-05-10							13600	A
USGS	06054500	1952-05-11							13300	A
USGS	06054500	1952-05-12							12800	A
USGS	06054500	1952-05-13							12600	A
USGS	06054500	1952-05-14							12700	A
USGS	06054500	1952-05-15							13700	A
USGS	06054500	1952-05-16							14700	A
USGS	06054500	1952-05-17							14900	A
USGS	06054500	1952-05-18							14700	A
USGS	06054500	1952-05-19							14500	A
USGS	06054500	1952-05-20							13800	A
USGS	06054500	1952-05-21							14600	A
USGS	06054500	1952-05-22							16700	A
USGS	06054500	1952-05-23							16700	A
USGS	06054500	1952-05-24							15300	A
USGS	06054500	1952-05-25							14400	A
USGS	06054500	1952-05-26							14500	A
USGS	06054500	1952-05-27							15000	A
USGS	06054500	1952-05-28							15800	A
USGS	06054500	1952-05-29							16400	A
USGS	06054500	1952-05-30							17000	A
USGS	06054500	1952-05-31							17700	A
USGS	06054500	1952-06-01							17100	A
USGS	06054500	1952-06-02							16900	A
USGS	06054500	1952-06-03							17200	A
USGS	06054500	1952-06-04							17200	A
USGS	06054500	1952-06-05							17400	A
USGS	06054500	1952-06-06							18000	A
USGS	06054500	1952-06-07							19400	A
USGS	06054500	1952-06-08							20400	A
USGS	06054500	1952-06-09							19800	A
USGS	06054500	1952-06-10							18400	A
USGS	06054500	1952-06-11							16700	A
USGS	06054500	1952-06-12							14200	A
USGS	06054500	1952-06-13							12700	A
USGS	06054500	1952-06-14							10600	A
USGS	06054500	1952-06-15							9500	A
USGS	06054500	1952-06-16							8700	A
USGS	06054500	1952-06-17							7540	A
USGS	06054500	1952-06-18							7000	A
USGS	06054500	1952-06-19							6530	A
USGS	06054500	1952-06-20							6070	A
USGS	06054500	1952-06-21							5780	A
USGS	06054500	1952-06-22							5760	A
USGS	06054500	1952-06-23							5900	A
USGS	06054500	1952-06-24							5970	A
USGS	06054500	1952-06-25							6560	A
USGS	06054500	1952-06-26							8250	A
USGS	06054500	1952-06-27							9300	A
USGS	06054500	1952-06-28							10400	A
USGS	06054500	1952-06-29							10800	A
USGS	06054500	1952-06-30							9560	A
USGS	06054500	1952-07-01							8640	A
USGS	06054500	1952-07-02							8820	A
USGS	06054500	1952-07-03							9030	A
USGS	06054500	1952-07-04							8190	A
USGS	06054500	1952-07-05							7730	A
USGS	06054500	1952-07-06							7140	A
USGS	06054500	1952-07-07							6530	A
USGS	06054500	1952-07-08							5760	A
USGS	06054500	1952-07-09							5050	A
USGS	06054500	1952-07-10							4440	A
USGS	06054500	1952-07-11							4180	A
USGS	06054500	1952-07-12							4550	A
USGS	06054500	1952-07-13							6400	A
USGS	06054500	1952-07-14							6530	A
USGS	06054500	1952-07-15							5760	A
USGS	06054500	1952-07-16							5030	A
USGS	06054500	1952-07-17							4360	A
USGS	06054500	1952-07-18							4050	A
USGS	06054500	1952-07-19							4190	A
